"comid","in_drb","huc08"
9445247,f,"02040301"
9445257,f,"02040301"
9445265,f,"02040301"
9445267,f,"02040301"
9445269,f,"02040301"
9445271,f,"02040301"
9445273,f,"02040301"
9445275,f,"02040301"
9445279,f,"02040301"
9445281,f,"02040301"
9445283,f,"02040301"
9445287,f,"02040301"
9445289,f,"02040301"
9445293,f,"02040301"
9445295,f,"02040301"
9445297,f,"02040301"
9445343,f,"02040301"
9445347,f,"02040301"
9445349,f,"02040301"
9445363,f,"02040301"
9445367,f,"02040301"
9445369,f,"02040301"
9445371,f,"02040301"
9445391,f,"02040301"
9445393,f,"02040301"
9445395,f,"02040301"
9445413,f,"02040301"
9445431,f,"02040301"
9445437,f,"02040301"
9445439,f,"02040301"
9445459,f,"02040301"
9445461,f,"02040301"
9445463,f,"02040301"
9445471,f,"02040301"
9445473,f,"02040301"
9445479,f,"02040301"
9445483,f,"02040301"
9445491,f,"02040301"
9445495,f,"02040301"
9445497,f,"02040301"
9445499,f,"02040301"
9445505,f,"02040301"
9445507,f,"02040301"
9445511,f,"02040301"
9445513,f,"02040301"
9445519,f,"02040301"
9445521,f,"02040301"
9445525,f,"02040301"
9445529,f,"02040301"
9445545,f,"02040301"
9445553,f,"02040301"
9445557,f,"02040301"
9445563,f,"02040301"
9445565,f,"02040301"
9445573,f,"02040301"
9445575,f,"02040301"
9445577,f,"02040301"
9445581,f,"02040301"
9445585,f,"02040301"
9445587,f,"02040301"
9445589,f,"02040301"
9445593,f,"02040301"
9445595,f,"02040301"
9445615,f,"02040301"
9445617,f,"02040301"
9445623,f,"02040301"
9445629,f,"02040301"
9445635,f,"02040301"
9445637,f,"02040301"
9445639,f,"02040301"
9445645,f,"02040301"
9445657,f,"02040301"
9445661,f,"02040301"
9445663,f,"02040301"
9445665,f,"02040301"
9445669,f,"02040301"
9445671,f,"02040301"
9445675,f,"02040301"
9445677,f,"02040301"
9445691,f,"02040301"
9445695,f,"02040301"
9445703,f,"02040301"
9445705,f,"02040301"
9445709,f,"02040301"
9445711,f,"02040301"
9445737,f,"02040301"
9445741,f,"02040301"
9445747,f,"02040301"
9445757,f,"02040301"
9445759,f,"02040301"
9445761,f,"02040301"
9445765,f,"02040301"
9445775,f,"02040301"
9445779,f,"02040301"
9445781,f,"02040301"
9445789,f,"02040301"
9445797,f,"02040301"
9445803,f,"02040301"
9445807,f,"02040301"
9445809,f,"02040301"
9445813,f,"02040301"
9445815,f,"02040301"
9445817,f,"02040301"
9445821,f,"02040301"
9445823,f,"02040301"
9445825,f,"02040301"
9445829,f,"02040301"
9445831,f,"02040301"
9445833,f,"02040301"
9445837,f,"02040301"
9445845,f,"02040301"
9445853,f,"02040301"
9445867,f,"02040301"
9445869,f,"02040301"
9445881,f,"02040301"
9445887,f,"02040301"
9445889,f,"02040301"
9445891,f,"02040301"
9445893,f,"02040301"
9445903,f,"02040301"
9445905,f,"02040301"
9445907,f,"02040301"
9445913,f,"02040301"
9445915,f,"02040301"
9445917,f,"02040301"
9445923,f,"02040301"
9445925,f,"02040301"
9445935,f,"02040301"
